Date,Open,High,Low,Close,Adj Close,Volume
1999-08-03,2.160465,2.187056,2.037485,2.044132,1.618937,196984313
1999-08-04,2.047456,2.080694,2.044132,2.070723,1.639997,54614470
1999-08-05,2.077370,2.273474,2.077370,2.233589,1.768986,102339492
1999-08-06,2.233589,2.283446,2.170437,2.260179,1.790045,68620189
1999-08-09,2.266827,2.276798,2.197027,2.210322,1.750558,24922414
1999-08-10,2.197027,2.243560,2.167113,2.180408,1.726866,24162894
1999-08-11,2.157141,2.187056,2.110608,2.123904,1.682116,16588726
1999-08-12,2.123904,2.140523,2.103961,2.117256,1.676851,11901711
1999-08-13,2.127227,2.140523,2.093989,2.113932,1.674218,9694389
1999-08-16,2.093989,2.113932,2.087342,2.103961,1.666321,8870888
1999-08-17,2.103961,2.153818,2.093989,2.130551,1.687380,13145840
1999-08-18,2.130551,2.140523,2.090666,2.123904,1.682116,6746399
1999-08-19,2.130551,2.167113,2.107285,2.153818,1.705808,14256770
1999-08-20,2.160465,2.170437,2.127227,2.133875,1.690013,12304570
1999-08-23,2.133875,2.133875,2.100637,2.120580,1.679483,7573990
1999-08-24,2.120580,2.177084,2.107285,2.173760,1.721601,15360873
1999-08-25,2.326655,2.326655,2.210322,2.283446,1.808472,61118075
1999-08-26,2.286769,2.320007,2.250208,2.286769,1.811104,32903413
1999-08-27,2.290093,2.306712,2.246884,2.256855,1.787412,16478728
1999-08-30,2.260179,2.263503,2.210322,2.223617,1.761088,11663471
1999-08-31,2.223617,2.233589,2.200351,2.230265,1.766353,9007268
1999-09-01,2.230265,2.230265,2.177084,2.187056,1.732132,7284146
1999-09-02,2.163789,2.223617,2.150494,2.210322,1.750558,7720810
1999-09-03,2.210322,2.220294,2.163789,2.170437,1.718970,4704263
1999-09-06,2.143846,2.177084,2.130551,2.157141,1.708439,4258426
1999-09-07,2.157141,2.180408,2.153818,2.163789,1.713705,4082473
1999-09-08,2.160465,2.200351,2.160465,2.180408,1.726866,3626106
1999-09-09,2.210322,2.310036,2.210322,2.300065,1.821634,28244973
1999-09-10,2.320007,2.359893,2.273474,2.303388,1.824266,42110543
1999-09-13,2.320007,2.339950,2.286769,2.306712,1.826898,15193717
1999-09-14,2.306712,2.353245,2.306712,2.316684,1.834796,13718108
1999-09-15,2.323331,2.343274,2.276798,2.283446,1.808472,10648290
1999-09-16,2.286769,2.300065,2.260179,2.266827,1.795310,5959672
1999-09-17,2.266827,2.293417,2.243560,2.263503,1.792677,5735103
1999-09-20,2.260179,2.276798,2.226941,2.230265,1.766353,4751122
1999-09-21,2.213646,2.243560,2.213646,2.233589,1.768986,4098389
1999-09-22,2.233589,2.243560,2.223617,2.226941,1.763720,4038442
1999-09-23,2.236913,2.236913,2.210322,2.213646,1.753191,5426200
1999-09-24,2.226941,2.280122,2.226941,2.263503,1.792677,4912934
1999-09-27,2.276798,2.286769,2.230265,2.233589,1.768986,2960171
1999-09-28,2.236913,2.260179,2.216970,2.226941,1.763720,3431019
1999-09-29,2.226941,2.260179,2.220294,2.226941,1.763720,3436434
1999-09-30,2.236913,2.236913,2.210322,2.210322,1.750558,4044445
1999-10-01,2.236913,2.236913,2.210322,2.210322,1.750558,0
1999-10-04,2.236913,2.236913,2.210322,2.210322,1.750558,0
1999-10-05,2.236913,2.236913,2.210322,2.210322,1.750558,0
1999-10-06,2.236913,2.236913,2.210322,2.210322,1.750558,0
1999-10-07,2.236913,2.236913,2.210322,2.210322,1.750558,0
1999-10-08,2.210322,2.210322,2.143846,2.147170,1.700542,6353105
1999-10-11,2.143846,2.143846,2.084018,2.093989,1.658423,19543482
1999-10-12,2.093989,2.150494,2.084018,2.147170,1.700542,13769324
1999-10-13,2.147170,2.147170,2.084018,2.087342,1.653159,8282996
1999-10-14,2.084018,2.103961,2.047456,2.070723,1.639997,7442547
1999-10-15,2.093989,2.133875,2.074047,2.107285,1.668954,8304908
1999-10-18,2.110608,2.123904,2.054104,2.057428,1.629467,6666268
1999-10-19,2.057428,2.064075,2.014218,2.024190,1.603143,5570382
1999-10-20,2.027514,2.050780,2.004247,2.044132,1.618937,5896545
1999-10-21,2.054104,2.054104,1.990952,2.000923,1.584716,7652427
1999-10-22,2.004247,2.074047,2.000923,2.047456,1.621570,6707275
1999-10-25,2.057428,2.057428,2.024190,2.027514,1.605776,3207383
1999-10-26,2.027514,2.060751,2.020866,2.047456,1.621570,2944530
1999-10-27,2.077370,2.190379,2.077370,2.127227,1.684748,15491561
1999-10-28,2.133875,2.140523,2.074047,2.087342,1.653159,4873347
1999-10-29,2.087342,2.097313,2.044132,2.060751,1.632099,5000160
1999-11-01,2.060751,2.070723,2.044132,2.047456,1.621570,2775632
1999-11-02,2.040809,2.050780,2.027514,2.027514,1.605776,2764672
1999-11-03,2.027514,2.037485,2.010895,2.030837,1.608407,3128283
1999-11-04,2.027514,2.054104,2.017542,2.050780,1.624202,2747463
1999-11-05,2.060751,2.060751,2.030837,2.037485,1.613673,1908148
1999-11-08,2.037485,2.057428,2.024190,2.037485,1.613673,2184901
1999-11-09,2.044132,2.060751,2.030837,2.034161,1.611040,1552593
1999-11-10,2.027514,2.027514,1.990952,2.014218,1.595246,7011828
1999-11-11,2.020866,2.070723,2.004247,2.017542,1.597878,3146841
1999-11-12,2.024190,2.030837,2.014218,2.024190,1.603143,1565440
1999-11-15,2.030837,2.040809,1.997599,2.014218,1.595246,2216918
1999-11-16,2.020866,2.044132,1.994276,2.000923,1.584716,4138686
1999-11-17,2.004247,2.027514,1.997599,2.020866,1.600510,2069695
1999-11-18,2.027514,2.057428,2.010895,2.047456,1.621570,4817348
1999-11-19,2.054104,2.077370,2.030837,2.030837,1.608407,3564631
1999-11-22,2.030837,2.034161,2.010895,2.017542,1.597878,1981064
1999-11-23,2.007571,2.020866,2.004247,2.020866,1.600510,1424276
1999-11-24,2.027514,2.037485,1.994276,2.010895,1.592614,1836188
1999-11-25,2.010895,2.010895,1.990952,1.997599,1.582083,3129388
1999-11-26,1.994276,2.007571,1.994276,1.997599,1.582083,1658132
1999-11-29,2.000923,2.010895,1.954390,1.961038,1.553127,4560150
1999-11-30,1.954390,1.967685,1.947742,1.951066,1.545229,2545741
1999-12-01,1.951066,1.977657,1.947742,1.967685,1.558392,1742226
1999-12-02,1.967685,1.974333,1.934447,1.937771,1.534700,2462547
1999-12-03,1.934447,1.954390,1.927800,1.941095,1.537332,2678144
1999-12-06,1.941095,1.947742,1.921152,1.924476,1.524170,2004998
1999-12-07,1.924476,1.931124,1.907857,1.914505,1.516273,2151186
1999-12-08,1.914505,1.921152,1.891238,1.894562,1.500479,2261572
1999-12-09,1.894562,1.904533,1.877943,1.887914,1.495213,2723141
1999-12-10,1.887914,1.901209,1.864648,1.901209,1.505743,2448852
1999-12-13,1.907857,1.907857,1.877943,1.877943,1.487316,1884593
1999-12-14,1.877943,1.907857,1.861324,1.907857,1.511008,1470124
1999-12-15,1.901209,1.944419,1.901209,1.927800,1.526803,3335646
1999-12-16,1.934447,1.934447,1.877943,1.881267,1.489949,2284705
1999-12-17,1.871295,1.894562,1.864648,1.871295,1.482051,2113007
1999-12-20,1.871295,1.894562,1.864648,1.871295,1.482051,0
1999-12-21,1.861324,1.861324,1.824762,1.831410,1.450463,2694812
1999-12-22,1.831410,1.841381,1.798172,1.801496,1.426771,2015603
1999-12-23,1.794848,1.801496,1.774905,1.778229,1.408344,2430776
1999-12-24,1.778229,1.778229,1.778229,1.778229,1.408344,0
1999-12-27,1.764934,1.811467,1.761610,1.788200,1.416241,1969105
1999-12-28,1.788200,1.828086,1.788200,1.794848,1.421506,1569832
1999-12-29,1.818115,1.838057,1.794848,1.834734,1.453095,1591973
1999-12-30,1.844705,1.844705,1.821438,1.831410,1.450463,1249328
1999-12-31,1.844705,1.844705,1.821438,1.831410,1.450463,0
2000-01-03,1.844705,1.844705,1.821438,1.831410,1.450463,0
2000-01-04,1.831410,1.861324,1.808143,1.858000,1.471522,2700017
2000-01-05,1.854676,1.911181,1.824762,1.861324,1.474154,4982307
2000-01-06,1.854676,1.931124,1.838057,1.921152,1.521538,4892301
2000-01-07,1.927800,1.977657,1.911181,1.967685,1.558392,12772032
2000-01-10,1.961038,1.980980,1.921152,1.957714,1.550495,9741161
2000-01-11,1.961038,1.964361,1.851352,1.861324,1.474154,8277593
2000-01-12,1.858000,1.891238,1.814791,1.824762,1.445198,5170995
2000-01-13,1.821438,1.884590,1.811467,1.831410,1.450463,3476148
2000-01-14,1.831410,1.854676,1.804819,1.814791,1.437301,1926413
2000-01-17,1.811467,1.828086,1.794848,1.824762,1.445198,2797397
2000-01-18,1.828086,1.854676,1.811467,1.841381,1.458360,2642613
2000-01-19,1.844705,1.921152,1.831410,1.894562,1.500479,6219429
2000-01-20,1.901209,1.907857,1.861324,1.867971,1.479419,3365130
2000-01-21,1.874619,1.894562,1.828086,1.841381,1.458360,6526136
2000-01-24,1.844705,1.941095,1.804819,1.897886,1.503111,6914575
2000-01-25,1.911181,1.944419,1.844705,1.897886,1.503111,6650891
2000-01-26,1.911181,1.911181,1.877943,1.907857,1.511008,4248152
2000-01-27,1.907857,1.911181,1.861324,1.901209,1.505743,7576036
2000-01-28,1.901209,1.977657,1.894562,1.954390,1.547862,15968922
2000-01-31,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-01,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-02,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-03,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-04,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-07,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-08,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-09,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-10,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-11,1.901209,1.977657,1.894562,1.954390,1.547862,0
2000-02-14,2.044132,2.150494,2.037485,2.150494,1.703175,35690655
2000-02-15,2.246884,2.260179,2.034161,2.084018,1.650526,45462674
2000-02-16,2.084018,2.140523,2.027514,2.090666,1.655792,23060671
2000-02-17,2.110608,2.133875,1.987628,2.020866,1.600510,22391183
2000-02-18,2.027514,2.060751,1.961038,1.997599,1.582083,11768107
2000-02-21,1.997599,2.054104,1.944419,2.054104,1.626835,14685861
2000-02-22,2.077370,2.093989,1.977657,1.980980,1.568921,9730433
2000-02-23,1.971009,1.977657,1.931124,1.944419,1.539965,7979900
2000-02-24,1.931124,1.961038,1.927800,1.957714,1.550495,4880330
2000-02-25,1.957714,1.987628,1.911181,1.941095,1.537332,6560118
2000-02-28,1.941095,1.987628,1.937771,1.987628,1.574186,7925883
2000-02-29,2.007571,2.014218,1.941095,1.967685,1.558392,13387715
2000-03-01,1.994276,2.054104,1.944419,2.004247,1.587348,14682494
2000-03-02,2.004247,2.010895,1.961038,1.984304,1.571554,6366210
2000-03-03,1.984304,2.027514,1.961038,2.020866,1.600510,11463136
2000-03-06,2.027514,2.093989,2.000923,2.007571,1.589981,21584653
2000-03-07,1.994276,2.027514,1.980980,2.027514,1.605776,11502227
2000-03-08,2.034161,2.103961,2.030837,2.093989,1.658423,28021650
2000-03-09,2.093989,2.180408,2.064075,2.173760,1.721601,47505472
2000-03-10,2.177084,2.187056,2.093989,2.123904,1.682116,41178295
2000-03-13,2.160465,2.326655,2.147170,2.320007,1.837428,125272292
2000-03-14,2.293417,2.413074,2.187056,2.383159,1.887444,115738526
2000-03-15,2.396455,2.452959,2.326655,2.336626,1.850590,65188063
2000-03-16,2.336626,2.343274,2.163789,2.200351,1.742661,46350412
2000-03-17,2.193703,2.293417,2.187056,2.283446,1.808472,37084286
2000-03-20,2.266827,2.419721,2.220294,2.383159,1.887444,49377721
2000-03-21,2.393131,2.413074,2.326655,2.356569,1.866385,34249823
2000-03-22,2.356569,2.373188,2.266827,2.326655,1.842693,27792978
2000-03-23,2.326655,2.559320,2.326655,2.532730,2.005903,99661946
2000-03-24,2.532730,2.592558,2.442988,2.452959,1.942725,53877200
2000-03-27,2.492845,2.659034,2.492845,2.655711,2.103303,53868867
2000-03-28,2.692272,2.722186,2.595882,2.659034,2.105935,43237752
2000-03-29,2.665682,2.708891,2.542702,2.625796,2.079611,31172604
2000-03-30,2.625796,2.659034,2.572616,2.639092,2.090141,26531464
2000-03-31,2.642415,2.649063,2.542702,2.559320,2.026962,23069962
2000-04-03,2.542702,2.546025,2.459607,2.459607,1.947990,27623256
2000-04-04,2.426369,2.439664,2.359893,2.383159,1.887444,21279583
