Date,Open,High,Low,Close,Adj Close,Volume
1991-04-12,20.000000,23.500000,20.000000,22.750000,13.237666,482100
1991-04-15,23.125000,26.125000,23.125000,26.000000,15.128761,392800
1991-04-16,26.000000,26.375000,25.000000,25.125000,14.619620,384300
1991-04-17,25.500000,26.250000,25.500000,25.750000,14.983298,205400
1991-04-18,25.750000,27.375000,25.750000,26.625000,15.492434,214000
1991-04-19,26.625000,26.875000,26.125000,26.500000,15.419703,138300
1991-04-22,26.500000,26.500000,25.875000,25.875000,15.056022,55100
1991-04-23,25.875000,26.125000,25.250000,25.750000,14.983298,123500
1991-04-24,25.750000,26.000000,25.000000,25.750000,14.983298,65000
1991-04-25,25.625000,25.625000,25.250000,25.250000,14.692353,99700
1991-04-26,25.250000,25.500000,24.500000,24.750000,14.401414,88600
1991-04-29,24.750000,24.750000,22.875000,22.875000,13.310399,78100
1991-04-30,22.875000,23.125000,22.625000,23.000000,13.383132,106200
1991-05-01,23.000000,25.250000,23.000000,25.250000,14.692353,89300
1991-05-02,25.250000,25.375000,24.000000,24.000000,13.965005,57500
1991-05-03,24.000000,24.250000,23.250000,24.250000,14.110483,77200
1991-05-06,24.125000,24.125000,23.625000,24.125000,14.037748,35800
1991-05-07,23.500000,24.000000,22.375000,22.375000,13.019451,466500
1991-05-08,22.375000,23.875000,22.125000,23.875000,13.892268,315900
1991-05-09,24.125000,25.125000,24.125000,24.875000,14.474147,324500
1991-05-10,24.875000,25.875000,24.875000,25.250000,14.692353,536400
1991-05-13,25.250000,25.750000,25.125000,25.750000,14.983298,172600
1991-05-14,25.750000,25.750000,25.000000,25.000000,14.546882,337400
1991-05-15,25.000000,25.125000,25.000000,25.000000,14.546882,545900
1991-05-16,25.125000,25.250000,25.000000,25.000000,14.546882,128100
1991-05-17,25.000000,25.125000,25.000000,25.000000,14.546882,232600
1991-05-20,25.000000,25.125000,25.000000,25.000000,14.546882,208600
1991-05-21,25.000000,25.125000,25.000000,25.000000,14.546882,297700
1991-05-22,24.875000,25.125000,24.500000,24.500000,14.255940,380800
1991-05-23,24.250000,24.375000,23.750000,23.875000,13.892268,466800
1991-05-24,23.750000,24.125000,23.750000,24.000000,13.965005,654600
1991-05-28,24.000000,24.125000,23.875000,24.000000,13.965005,372800
1991-05-29,24.000000,24.125000,23.750000,24.000000,13.965005,360100
1991-05-30,24.125000,24.375000,23.875000,24.250000,14.110483,4872600
1991-05-31,24.375000,25.250000,24.375000,25.250000,14.692353,722000
1991-06-03,25.250000,25.500000,25.000000,25.125000,14.619620,329400
1991-06-04,24.625000,24.750000,24.500000,24.625000,14.328678,227200
1991-06-05,24.625000,25.250000,24.250000,25.125000,14.619620,910800
1991-06-06,24.750000,25.125000,24.625000,24.750000,14.401414,319200
